what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589675968
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335589676318
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335589676398
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1335589703948
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1335589723648
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1335589733288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1335589748733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1335589774113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1335589817293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589835063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589837073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589839088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589840278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589841018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589842313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589844028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589850753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589852448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589853408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589902373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589985614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589988409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335589989729
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1335589995094
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335589995799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1335590020224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335590022059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1335590030169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590033109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590054864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590064474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590065599
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1335590066904
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335590067379
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335590074539
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335590077484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590085789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590136599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590255489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1335590266339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335590272339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590273609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590316399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590316929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590320589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1335590326604
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1335590328514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335590331209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590331534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590354314
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1335590359839
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1335590360799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335590371189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590372179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590746130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335590765005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590765800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590817150
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335590820425
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335590820635
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335590824420
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335590825780
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335590825845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1335590839120
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1335590869545
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1335590869900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590878985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590882625
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1335590903890
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1335590905540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335590906745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335590907590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335591233595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335591234220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335591234830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335591235140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335591235675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335591237275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335591490266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335591493096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335591559846
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335591562711
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335591562946
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1335591577726
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1335591577831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335591592101
