what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1337302835191
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1337302835205
os,sysinfo,,,"win32",1337302835208
arch,sysinfo,,,"x86_64",1337302835208
ws,sysinfo,,,"win32",1337302835208
locale,sysinfo,,,"zh_CN",1337302835208
processors,sysinfo,,,"4",1337302835208
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337302835208
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1337302835208
java.specification.name,sysinfo,,,"Java Platform API Specification",1337302835208
java.specification.vendor,sysinfo,,,"Oracle Corporation",1337302835208
java.specification.version,sysinfo,,,"1.7",1337302835208
java.vendor,sysinfo,,,"Oracle Corporation",1337302835208
java.version,sysinfo,,,"1.7.0_03",1337302835208
java.vm.info,sysinfo,,,"mixed mode",1337302835208
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1337302835208
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337302835208
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1337302835208
java.vm.specification.version,sysinfo,,,"1.7",1337302835208
java.vm.vendor,sysinfo,,,"Oracle Corporation",1337302835208
java.vm.version,sysinfo,,,"22.1-b02",1337302835208
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1337302835235
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1337302835735
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1337302835894
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1337302836324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302839195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302849014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302857529
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1337302872237
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1337302872264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302872436
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1337302874507
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1337302875300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302879614
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1337302914069
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1337302914216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302914924
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1337302915489
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337302915501
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337302915615
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1337302915996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302917130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302960507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302961723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302962729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302964720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302966199
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1337302971502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302980676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337302980858
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1337302994612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337303041887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337303129305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337303137798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337303139210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337303163493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337303165580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337303171475
